id;department_name;location;division;format
1;grave arrange catalog;gee;duster geez;ACCOUNTING
2;oily;after;phooey;SALES
3;than till pish;dishonor;up;MAINTENANCE
4;dual till;promptly boohoo;less overcoat;MARKETING
5;judgementally;minority dowse;drive hence;MAINTENANCE
6;creamy absentmindedly;charter underneath verbally;athwart considering when;PROCUREMENT
7;till upon respray;revoke;since outside;PROCUREMENT
8;volleyball;meh;advocate;ACCOUNTING
9;fidget;outset bossy;earnest ecliptic nimble;TICKETING
10;procurement international;energetically;foodstuffs;PROCUREMENT
