id;code;description;start;destination;passenger_capacity;parcel_total_weight
1;throughout amid;duh;intervention whose;minus descent enraged;10337;22808.18
2;now configuration;nice like plain;on sunbathe drat;frivolous flawless;28878;21167.02
3;without;gah zebra crocodile;fooey psst;fun;8570;26329.58
4;splosh unit hundred;noisily aboard;oxygenate mentor;naturally spirit when;19346;19504.68
5;supposing;syringe;shanghai reboot;boohoo;12078;30576.81
6;barring worth plain;petticoat;oof modulo circa;bah spherical;4269;10396.32
7;atop once;vaguely;perfectly;save phooey;7408;21348.83
8;scorpion yuck;consequently fiercely;jaggedly interestingly not;downshift;25956;26890.51
9;excellent distinct happy-go-lucky;vice qua ham;front insecure after;sheepishly;16546;29413.61
10;nervously;er horde overspend;lest carboxyl;nervously whitewash;20372;31972.97
