id;code;description;departure;arrival;route_id
1;requirement;happy-go-lucky caring pace;2025-02-22T22:38:55;2025-02-22T18:30:10;1
2;wring;foolishly regarding between;2025-02-23T04:06:41;2025-02-23T05:06:46;2
3;whenever;since uh-huh;2025-02-22T20:41:01;2025-02-23T12:06:05;3
4;um ha;including;2025-02-23T12:09:50;2025-02-23T14:21:27;4
5;clonk shell but;majestic self-confidence of;2025-02-22T22:26:16;2025-02-23T04:35:17;5
6;important;obnoxiously yahoo oddly;2025-02-22T22:13:00;2025-02-23T13:10:59;6
7;interestingly;sad;2025-02-22T23:42:43;2025-02-23T01:41:47;7
8;fooey tightly;meh summary;2025-02-22T23:03:17;2025-02-23T13:47:47;8
9;willing tooth in;if that handsome;2025-02-22T19:22:12;2025-02-22T16:34:22;9
10;oval;bleak anenst;2025-02-23T02:30:44;2025-02-23T15:11:56;10
