id;placed_date;status;code;invoice_id;customer_id
1;2025-02-22T18:20:38;PENDING;hepatitis stealthily;23532;1
2;2025-02-23T03:56:47;CANCELLED;but bah;32450;2
3;2025-02-23T00:33:46;COMPLETED;lady psst;23391;3
4;2025-02-23T06:30:08;CANCELLED;gloss tomatillo key;28359;4
5;2025-02-23T12:47:19;COMPLETED;bleach gee;18886;5
6;2025-02-22T20:40:18;COMPLETED;attend;7792;6
7;2025-02-22T18:16:06;PENDING;bashfully yowza well;16597;7
8;2025-02-22T16:29:35;CANCELLED;alligator median;25096;8
9;2025-02-22T21:22:46;COMPLETED;fencing schematise fooey;2192;9
10;2025-02-23T06:54:15;COMPLETED;elliptical fold;4448;10
